key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,271.373482507,271.373482507,128000,2.120105,62.2395,rk4,8.0,0.01,0.00025,2
callback.on_frame,0.005325500,0.005325500,800,0.006657,0.0012,rk4,8.0,0.01,0.00025,2
callback.on_substep,0.857999197,0.857999197,32000,0.026812,0.1968,rk4,8.0,0.01,0.00025,2
detector.build_candidates,128.293205906,128.293205906,111027,1.155514,29.4240,rk4,8.0,0.01,0.00025,2
detector.project_prev,26.301858686,26.301858686,128000,0.205483,6.0323,rk4,8.0,0.01,0.00025,2
detector.query_manifold,1.405014802,431.062363895,128000,0.010977,0.3222,rk4,8.0,0.01,0.00025,2
detector.reduce_manifold,3.688801994,3.688801994,111027,0.033224,0.8460,rk4,8.0,0.01,0.00025,2
integrator.step_sub,2.159221102,435.151540697,32000,0.067476,0.4952,rk4,8.0,0.01,0.00025,2
world.compute_forces,1.929955700,432.992319595,128000,0.015078,0.4426,rk4,8.0,0.01,0.00025,2
TOTAL,436.014865394,1729.726897976,,,100.00,rk4,8.0,0.01,0.00025,2
