time,fixed_x,fixed_y,fixed_z,fall_x,fall_y,fall_z,fixed_vx,fixed_vy,fixed_vz,fall_vx,fall_vy,fall_vz,distance
2.9800000000001625,0.0,0.0,0.0,-0.0015261450342803364,0.0023123689433762642,199.46475731586443,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,7.586307888794385,199.46475733510636
2.990000000000166,0.0,0.0,0.0,-0.0021466686491207797,0.0032525254980645167,199.54013039475237,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,7.488307888794383,199.54013043280764
3.000000000000169,0.0,0.0,0.0,-0.00276719226396122,0.004192682052752771,199.6145234736403,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,7.39030788879438,199.61452353685198
3.0100000000001725,0.0,0.0,0.0,-0.0033877158788016603,0.005132838607441032,199.68793655252824,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,7.292307888794378,199.68793664723265
3.020000000000176,0.0,0.0,0.0,-0.0040082394936421005,0.006072995162129293,199.76036963141618,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,7.194307888794375,199.76036976394312
3.030000000000179,0.0,0.0,0.0,-0.004628763108482541,0.007013151716817554,199.83182271030412,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,7.096307888794373,199.83182288697705
3.0400000000001826,0.0,0.0,0.0,-0.005249286723322981,0.007953308271505814,199.90229578919207,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.99830788879437,199.90229601632834
3.050000000000186,0.0,0.0,0.0,-0.005869810338163421,0.008893464826194058,199.97178886807998,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.900307888794368,199.971789151991
3.0600000000001892,0.0,0.0,0.0,-0.006490333953003862,0.009833621380882302,200.04030194696793,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.802307888794365,200.04030229395937
3.0700000000001926,0.0,0.0,0.0,-0.007110857567844302,0.010773777935570546,200.10783502585588,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.704307888794363,200.10783544222784
3.080000000000196,0.0,0.0,0.0,-0.007731381182684742,0.01171393449025879,200.1743881047438,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.60630788879436,200.17438859679103
3.0900000000001993,0.0,0.0,0.0,-0.008351904797525183,0.012654091044947035,200.23996118363175,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.5083078887943575,200.2399617576439
3.1000000000002026,0.0,0.0,0.0,-0.008972428412365624,0.01359424759963528,200.30455426251967,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.410307888794355,200.30455492478129
3.110000000000206,0.0,0.0,0.0,-0.009592952027206064,0.014534404154323523,200.36816734140763,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.3123078887943525,200.3681680981986
3.1200000000002093,0.0,0.0,0.0,-0.010213475642046504,0.015474560709011768,200.43080042029555,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.21430788879435,200.43080127789108
3.1300000000002126,0.0,0.0,0.0,-0.010833999256886944,0.016414717263700036,200.49245349918348,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.116307888794347,200.49245446385441
3.140000000000216,0.0,0.0,0.0,-0.011454522871727385,0.017354873818388312,200.55312657807144,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,6.018307888794345,200.5531276560844
3.1500000000002193,0.0,0.0,0.0,-0.012075046486567825,0.018295030373076587,200.61281965695937,0.0,0.0,0.0,-0.06205236148404444,0.09401565546882536,5.920307888794342,200.61282085457697
