key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,129.092827889,129.092827889,64080,2.014557,61.8291,rk4,8.0,0.01,0.0005,2
callback.on_frame,0.005187200,0.005187200,801,0.006476,0.0025,rk4,8.0,0.01,0.0005,2
callback.on_substep,0.510876704,0.510876704,16020,0.031890,0.2447,rk4,8.0,0.01,0.0005,2
detector.build_candidates,61.286115597,61.286115597,55593,1.102407,29.3530,rk4,8.0,0.01,0.0005,2
detector.project_prev,13.236627398,13.236627398,64080,0.206564,6.3397,rk4,8.0,0.01,0.0005,2
detector.query_manifold,0.712464818,206.194452000,64080,0.011118,0.3412,rk4,8.0,0.01,0.0005,2
detector.reduce_manifold,1.866416298,1.866416298,55593,0.033573,0.8939,rk4,8.0,0.01,0.0005,2
integrator.step_sub,1.097264898,208.273842597,16020,0.068493,0.5255,rk4,8.0,0.01,0.0005,2
world.compute_forces,0.982125698,207.176577698,64080,0.015327,0.4704,rk4,8.0,0.01,0.0005,2
TOTAL,208.789906501,827.642923381,,,100.00,rk4,8.0,0.01,0.0005,2
