key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,3981.372068618,3981.372068618,1602000,2.485251,62.0961,verlet,8.0,0.01,1e-05,2
callback.on_frame,0.006377600,0.006377600,801,0.007962,0.0001,verlet,8.0,0.01,1e-05,2
callback.on_substep,26.457648723,26.457648723,801000,0.033031,0.4127,verlet,8.0,0.01,1e-05,2
detector.build_candidates,1890.425248095,1890.425248095,1389841,1.360174,29.4843,verlet,8.0,0.01,1e-05,2
detector.project_prev,368.225319894,368.225319894,1602000,0.229854,5.7431,verlet,8.0,0.01,1e-05,2
detector.query_manifold,21.920737904,6313.704977319,1602000,0.013683,0.3419,verlet,8.0,0.01,1e-05,2
detector.reduce_manifold,51.761602807,51.761602807,1389841,0.037243,0.8073,verlet,8.0,0.01,1e-05,2
integrator.step_sub,44.117202081,6385.167887024,801000,0.055078,0.6881,verlet,8.0,0.01,1e-05,2
world.compute_forces,27.345707624,6341.050684943,1602000,0.017070,0.4265,verlet,8.0,0.01,1e-05,2
TOTAL,6411.631913347,25358.171815025,,,100.00,verlet,8.0,0.01,1e-05,2
