key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,13.709490097,13.709490097,16000,0.856843,55.5171,verlet,8.0,0.01,0.001,2
callback.on_frame,0.010554999,0.010554999,800,0.013194,0.0427,verlet,8.0,0.01,0.001,2
callback.on_substep,0.203899699,0.203899699,8000,0.025487,0.8257,verlet,8.0,0.01,0.001,2
detector.build_candidates,6.298259404,6.298259404,13879,0.453798,25.5050,verlet,8.0,0.01,0.001,2
detector.project_prev,3.224626002,3.224626002,16000,0.201539,13.0582,verlet,8.0,0.01,0.001,2
detector.query_manifold,0.172618998,23.835963203,16000,0.010789,0.6990,verlet,8.0,0.01,0.001,2
detector.reduce_manifold,0.430968702,0.430968702,13879,0.031052,1.7452,verlet,8.0,0.01,0.001,2
integrator.step_sub,0.392794000,24.479724101,8000,0.049099,1.5906,verlet,8.0,0.01,0.001,2
world.compute_forces,0.250966898,24.086930101,16000,0.015685,1.0163,verlet,8.0,0.01,0.001,2
TOTAL,24.694178799,96.280416308,,,100.00,verlet,8.0,0.01,0.001,2
