key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,68.021231904,68.021231904,32040,2.123010,61.9736,verlet,8.0,0.01,0.0005,2
callback.on_frame,0.005113801,0.005113801,801,0.006384,0.0047,verlet,8.0,0.01,0.0005,2
callback.on_substep,0.586646794,0.586646794,16020,0.036620,0.5345,verlet,8.0,0.01,0.0005,2
detector.build_candidates,32.011134500,32.011134500,27797,1.151604,29.1651,verlet,8.0,0.01,0.0005,2
detector.project_prev,6.562794999,6.562794999,32040,0.204831,5.9793,verlet,8.0,0.01,0.0005,2
detector.query_manifold,0.362800399,107.873556503,32040,0.011323,0.3305,verlet,8.0,0.01,0.0005,2
detector.reduce_manifold,0.915594700,0.915594700,27797,0.032939,0.8342,verlet,8.0,0.01,0.0005,2
integrator.step_sub,0.798840703,109.166670899,16020,0.049865,0.7278,verlet,8.0,0.01,0.0005,2
world.compute_forces,0.494273693,108.367830196,32040,0.015427,0.4503,verlet,8.0,0.01,0.0005,2
TOTAL,109.758431494,433.510574296,,,100.00,verlet,8.0,0.01,0.0005,2
