key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
callback.on_frame,0.011127100,0.011127100,800,0.013909,0.0095,rk4,8.0,0.01,0.001,2
callback.on_substep,0.180460001,0.180460001,8000,0.022558,0.1544,rk4,8.0,0.01,0.001,2
detector.query_manifold,115.917977097,115.917977097,32000,3.622437,99.1888,rk4,8.0,0.01,0.001,2
integrator.step_sub,0.547598597,116.674358301,8000,0.068450,0.4686,rk4,8.0,0.01,0.001,2
world.compute_forces,0.208782607,116.126759704,32000,0.006524,0.1787,rk4,8.0,0.01,0.001,2
TOTAL,116.865945402,348.910682204,,,100.00,rk4,8.0,0.01,0.001,2
