key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,366.336398681,366.336398681,160200,2.286744,61.9762,verlet,8.0,0.01,0.0001,2
callback.on_frame,0.005322401,0.005322401,801,0.006645,0.0009,verlet,8.0,0.01,0.0001,2
callback.on_substep,2.199871413,2.199871413,80100,0.027464,0.3722,verlet,8.0,0.01,0.0001,2
detector.build_candidates,174.128281590,174.128281590,138985,1.252857,29.4587,verlet,8.0,0.01,0.0001,2
detector.project_prev,34.841164283,34.841164283,160200,0.217485,5.8944,verlet,8.0,0.01,0.0001,2
detector.query_manifold,1.887625441,582.195871895,160200,0.011783,0.3193,verlet,8.0,0.01,0.0001,2
detector.reduce_manifold,5.002401901,5.002401901,138985,0.035992,0.8463,verlet,8.0,0.01,0.0001,2
integrator.step_sub,4.080027692,588.886786414,80100,0.050937,0.6903,verlet,8.0,0.01,0.0001,2
world.compute_forces,2.610886827,584.806758722,160200,0.016298,0.4417,verlet,8.0,0.01,0.0001,2
TOTAL,591.091980229,2338.402857300,,,100.00,verlet,8.0,0.01,0.0001,2
