key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,137.335173611,137.335173611,64000,2.145862,61.9480,verlet,8.0,0.01,0.00025,2
callback.on_frame,0.005065999,0.005065999,800,0.006332,0.0023,verlet,8.0,0.01,0.00025,2
callback.on_substep,0.830522102,0.830522102,32000,0.025954,0.3746,verlet,8.0,0.01,0.00025,2
detector.build_candidates,65.319597805,65.319597805,55513,1.176654,29.4638,verlet,8.0,0.01,0.00025,2
detector.project_prev,13.066415194,13.066415194,64000,0.204163,5.8939,verlet,8.0,0.01,0.00025,2
detector.query_manifold,0.712249093,218.288066905,64000,0.011129,0.3213,verlet,8.0,0.01,0.00025,2
detector.reduce_manifold,1.854631202,1.854631202,55513,0.033409,0.8366,verlet,8.0,0.01,0.00025,2
integrator.step_sub,1.585724712,220.858760101,32000,0.049554,0.7153,verlet,8.0,0.01,0.00025,2
world.compute_forces,0.984968484,219.273035389,64000,0.015390,0.4443,verlet,8.0,0.01,0.00025,2
TOTAL,221.694348202,876.831268308,,,100.00,verlet,8.0,0.01,0.00025,2
