time,fixed_x,fixed_y,fixed_z,fall_x,fall_y,fall_z,fixed_vx,fixed_vy,fixed_vz,fall_vx,fall_vy,fall_vz,distance
0.01,0.0,0.0,0.0,0.0,0.0,204.99951,0.0,0.0,0.0,0.0,0.0,-0.09799999999999995,204.99951
0.02,0.0,0.0,0.0,0.0,0.0,204.99803999999997,0.0,0.0,0.0,0.0,0.0,-0.1960000000000002,204.99803999999997
0.030000000000000002,0.0,0.0,0.0,0.0,0.0,204.99558999999996,0.0,0.0,0.0,0.0,0.0,-0.29399999999999954,204.99558999999996
0.04,0.0,0.0,0.0,0.0,0.0,204.99215999999998,0.0,0.0,0.0,0.0,0.0,-0.39199999999999763,204.99215999999998
0.05,0.0,0.0,0.0,0.0,0.0,204.98774999999998,0.0,0.0,0.0,0.0,0.0,-0.4899999999999957,204.98774999999998
0.060000000000000005,0.0,0.0,0.0,0.0,0.0,204.98236,0.0,0.0,0.0,0.0,0.0,-0.5879999999999975,204.98236
0.06999999999999999,0.0,0.0,0.0,0.0,0.0,204.97599,0.0,0.0,0.0,0.0,0.0,-0.6859999999999998,204.97599
0.07999999999999999,0.0,0.0,0.0,0.0,0.0,204.96863999999997,0.0,0.0,0.0,0.0,0.0,-0.7840000000000021,204.96863999999997
0.08999999999999998,0.0,0.0,0.0,0.0,0.0,204.96030999999996,0.0,0.0,0.0,0.0,0.0,-0.8820000000000044,204.96030999999996
0.09999999999999998,0.0,0.0,0.0,0.0,0.0,204.951,0.0,0.0,0.0,0.0,0.0,-0.9800000000000068,204.951
0.10999999999999997,0.0,0.0,0.0,0.0,0.0,204.94071,0.0,0.0,0.0,0.0,0.0,-1.0780000000000092,204.94071
0.11999999999999997,0.0,0.0,0.0,0.0,0.0,204.92943999999997,0.0,0.0,0.0,0.0,0.0,-1.1760000000000117,204.92943999999997
0.12999999999999998,0.0,0.0,0.0,0.0,0.0,204.91718999999998,0.0,0.0,0.0,0.0,0.0,-1.2740000000000142,204.91718999999998
0.13999999999999999,0.0,0.0,0.0,0.0,0.0,204.90395999999996,0.0,0.0,0.0,0.0,0.0,-1.3720000000000168,204.90395999999996
0.15,0.0,0.0,0.0,0.0,0.0,204.88974999999996,0.0,0.0,0.0,0.0,0.0,-1.4700000000000193,204.88974999999996
0.16,0.0,0.0,0.0,0.0,0.0,204.87455999999997,0.0,0.0,0.0,0.0,0.0,-1.5680000000000218,204.87455999999997
0.17,0.0,0.0,0.0,0.0,0.0,204.85838999999999,0.0,0.0,0.0,0.0,0.0,-1.6660000000000244,204.85838999999999
0.18000000000000002,0.0,0.0,0.0,0.0,0.0,204.84123999999997,0.0,0.0,0.0,0.0,0.0,-1.7640000000000269,204.84123999999997
0.19000000000000003,0.0,0.0,0.0,0.0,0.0,204.82310999999996,0.0,0.0,0.0,0.0,0.0,-1.8620000000000294,204.82310999999996
0.20000000000000004,0.0,0.0,0.0,0.0,0.0,204.80399999999995,0.0,0.0,0.0,0.0,0.0,-1.960000000000032,204.80399999999995
0.21000000000000005,0.0,0.0,0.0,0.0,0.0,204.78390999999996,0.0,0.0,0.0,0.0,0.0,-2.058000000000024,204.78390999999996
0.22000000000000006,0.0,0.0,0.0,0.0,0.0,204.76283999999995,0.0,0.0,0.0,0.0,0.0,-2.1560000000000086,204.76283999999995
0.23000000000000007,0.0,0.0,0.0,0.0,0.0,204.74078999999998,0.0,0.0,0.0,0.0,0.0,-2.2539999999999933,204.74078999999998
0.24000000000000007,0.0,0.0,0.0,0.0,0.0,204.71775999999997,0.0,0.0,0.0,0.0,0.0,-2.351999999999978,204.71775999999997
0.25000000000000006,0.0,0.0,0.0,0.0,0.0,204.69374999999994,0.0,0.0,0.0,0.0,0.0,-2.449999999999963,204.69374999999994
0.25999999999999895,0.0,0.0,0.0,0.0,0.0,204.66875999999993,0.0,0.0,0.0,0.0,0.0,-2.5479999999999476,204.66875999999993
0.26999999999999785,0.0,0.0,0.0,0.0,0.0,204.64278999999996,0.0,0.0,0.0,0.0,0.0,-2.6459999999999324,204.64278999999996
0.27999999999999675,0.0,0.0,0.0,0.0,0.0,204.61583999999996,0.0,0.0,0.0,0.0,0.0,-2.743999999999917,204.61583999999996
0.28999999999999565,0.0,0.0,0.0,0.0,0.0,204.58790999999994,0.0,0.0,0.0,0.0,0.0,-2.841999999999902,204.58790999999994
0.29999999999999455,0.0,0.0,0.0,0.0,0.0,204.55899999999994,0.0,0.0,0.0,0.0,0.0,-2.9399999999998867,204.55899999999994
0.30999999999999345,0.0,0.0,0.0,0.0,0.0,204.52910999999992,0.0,0.0,0.0,0.0,0.0,-3.0379999999998715,204.52910999999992
0.31999999999999235,0.0,0.0,0.0,0.0,0.0,204.49823999999992,0.0,0.0,0.0,0.0,0.0,-3.1359999999998562,204.49823999999992
0.32999999999999124,0.0,0.0,0.0,0.0,0.0,204.46638999999996,0.0,0.0,0.0,0.0,0.0,-3.233999999999841,204.46638999999996
0.33999999999999014,0.0,0.0,0.0,0.0,0.0,204.43355999999997,0.0,0.0,0.0,0.0,0.0,-3.3319999999998258,204.43355999999997
0.34999999999998904,0.0,0.0,0.0,0.0,0.0,204.39974999999995,0.0,0.0,0.0,0.0,0.0,-3.4299999999998105,204.39974999999995
0.35999999999998794,0.0,0.0,0.0,0.0,0.0,204.36495999999997,0.0,0.0,0.0,0.0,0.0,-3.5279999999997953,204.36495999999997
0.36999999999998684,0.0,0.0,0.0,0.0,0.0,204.32918999999995,0.0,0.0,0.0,0.0,0.0,-3.62599999999978,204.32918999999995
