key,total_sec,count,avg_ms,percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,27.341273394,32000,0.854415,14.2793,rk4,8.0,0.01,0.001,2
callback.on_frame,0.010724999,800,0.013406,0.0056,rk4,8.0,0.01,0.001,2
callback.on_substep,0.213332595,8000,0.026667,0.1114,rk4,8.0,0.01,0.001,2
detector.build_candidates,12.605927700,27757,0.454153,6.5836,rk4,8.0,0.01,0.001,2
detector.project_prev,6.408174592,32000,0.200255,3.3467,rk4,8.0,0.01,0.001,2
detector.query_manifold,47.470008699,32000,1.483438,24.7918,rk4,8.0,0.01,0.001,2
detector.reduce_manifold,0.855791102,27757,0.030832,0.4469,rk4,8.0,0.01,0.001,2
integrator.step_sub,48.637811903,8000,6.079726,25.4017,rk4,8.0,0.01,0.001,2
world.compute_forces,47.931599808,32000,1.497862,25.0329,rk4,8.0,0.01,0.001,2
